North American Industry Classification System (NAICS),Jan-19,Feb-19,Mar-19,Apr-19,May-19,Jun-19,Jul-19,Aug-19,Sep-19,Oct-19,Nov-19,Dec-19,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23,Feb-23,Mar-23,Apr-23,May-23,Jun-23,Jul-23,Aug-23,Sep-23,Oct-23,Nov-23,Dec-23,Jan-24,Feb-24,Mar-24,Apr-24,May-24,Jun-24,Jul-24,Aug-24,Sep-24,Oct-24,Nov-24,Dec-24
Retail trade  [44-45],"52,907,965","52,997,482","53,627,744","53,786,070","54,093,066","53,802,084","54,381,960","54,350,184","54,363,245","53,625,470","54,040,294","55,349,866","54,694,567","54,879,879","48,808,933","37,562,059","45,898,194","55,877,453","56,307,980","56,079,836","57,985,834","58,530,435","58,735,568","56,372,888","55,268,321","58,855,955","61,723,189","58,434,484","56,988,605","59,519,526","60,056,665","60,991,521","60,777,537","61,646,244","62,395,995","61,549,085","63,103,279","63,530,824","63,971,185","64,166,304","65,811,822","66,619,698","64,770,939","65,005,294","64,744,748","65,415,144","65,326,359","65,081,686","66,601,003","65,898,418","65,199,981","65,646,253","65,488,724","65,586,421","65,770,513","65,744,690","66,408,655","66,558,964","66,519,225","66,946,212","66,535,396","66,416,741","66,137,308","66,499,064","65,957,107","65,790,451","66,458,874","66,739,148","67,271,755","67,778,449","67,888,716","69,588,051"
Motor vehicle and parts dealers  [441],"14,252,658","14,280,805","14,496,126","14,425,627","14,760,235","14,342,183","14,589,212","14,777,424","14,690,081","14,116,353","14,648,847","14,755,172","14,440,651","14,690,572","9,568,291","5,698,142","9,908,606","14,722,057","15,037,930","14,786,108","15,882,582","16,491,114","15,970,999","14,810,009","14,386,459","15,310,683","16,384,298","16,369,283","15,811,798","15,904,051","16,302,776","16,435,398","16,094,685","16,483,265","16,467,414","16,612,160","17,220,196","16,454,301","15,790,298","15,743,435","16,301,139","16,414,339","16,362,046","16,512,991","16,606,801","16,725,880","16,834,890","16,920,654","18,119,442","17,958,560","17,241,014","17,287,351","17,249,150","17,704,701","17,507,151","17,370,313","17,942,387","18,083,613","18,221,904","18,377,681","17,787,087","17,888,570","17,983,842","17,581,734","17,670,255","17,397,058","17,827,864","18,538,663","18,469,935","18,943,007","19,408,569","19,778,789"
Automobile dealers  [4411],"12,437,311","12,561,896","12,683,296","12,676,954","12,965,978","12,550,127","12,813,553","12,962,211","12,850,003","12,336,624","12,734,029","13,080,013","12,669,298","12,877,925","8,107,704","4,571,873","8,132,554","12,537,922","12,727,068","12,699,572","13,802,802","14,259,596","13,780,145","12,533,137","12,273,049","13,120,142","14,014,977","14,070,545","13,682,236","13,734,207","14,122,927","14,263,382","13,901,963","14,273,544","14,302,682","14,242,909","14,633,497","14,110,946","13,495,019","13,412,258","13,931,625","14,125,092","14,054,401","14,127,330","14,169,018","14,404,318","14,459,544","14,583,085","15,601,959","15,467,379","14,905,975","14,928,808","14,821,993","15,280,688","15,091,801","14,941,852","15,544,396","15,679,668","15,768,797","15,944,833","15,433,347","15,533,989","15,577,819","15,170,066","15,358,488","15,039,810","15,397,483","16,119,546","16,023,515","16,531,772","16,994,599","17,349,816"
New car dealers  [44111],"11,240,260","11,405,368","11,459,013","11,475,078","11,726,754","11,321,779","11,632,791","11,802,933","11,656,335","11,194,641","11,517,576","11,876,873","11,461,520","11,641,560","7,273,078","4,058,987","7,140,160","11,340,553","11,394,696","11,354,912","12,489,347","12,934,114","12,470,468","11,153,285","10,957,132","11,735,221","12,574,841","12,638,695","12,243,946","12,299,035","12,669,853","12,835,690","12,367,771","12,714,136","12,746,815","12,688,585","13,038,243","12,650,996","12,223,971","12,118,207","12,620,092","12,800,152","12,712,382","12,748,401","12,826,878","13,007,411","13,039,065","13,254,815","14,279,202","14,092,607","13,530,033","13,549,201","13,480,870","13,903,196","13,730,917","13,570,218","14,170,887","14,344,911","14,459,672","14,582,978","14,033,825","14,117,353","14,213,183","13,808,639","13,976,084","13,671,011","14,027,374","14,696,176","14,673,871","15,143,861","15,609,257","15,919,688"
Used car dealers  [44112],"1,197,051","1,156,528","1,224,284","1,201,876","1,239,224","1,228,348","1,180,761","1,159,277","1,193,669","1,141,983","1,216,453","1,203,140","1,207,778","1,236,365","834,626","512,886","992,394","1,197,369","1,332,371","1,344,661","1,313,455","1,325,482","1,309,677","1,379,852","1,315,916","1,384,920","1,440,136","1,431,851","1,438,289","1,435,171","1,453,074","1,427,692","1,534,192","1,559,408","1,555,866","1,554,324","1,595,254","1,459,950","1,271,048","1,294,051","1,311,533","1,324,939","1,342,019","1,378,930","1,342,140","1,396,908","1,420,479","1,328,269","1,322,757","1,374,771","1,375,942","1,379,606","1,341,123","1,377,491","1,360,884","1,371,634","1,373,508","1,334,757","1,309,125","1,361,855","1,399,522","1,416,636","1,364,636","1,361,427","1,382,404","1,368,799","1,370,109","1,423,370","1,349,644","1,387,911","1,385,341","1,430,128"
Other motor vehicle dealers  [4412],"914,768","839,416","911,090","839,509","876,859","885,295","893,638","940,348","913,379","885,987","1,014,287","826,591","866,706","912,401","640,968","418,972","862,297","1,215,070","1,308,326","1,105,034","1,101,828","1,168,469","1,155,654","1,262,005","1,125,245","1,087,511","1,270,391","1,238,981","1,166,474","1,136,332","1,129,544","1,072,851","1,105,542","1,159,352","1,094,485","1,199,050","1,412,209","1,213,942","1,159,592","1,218,979","1,197,487","1,090,546","1,130,016","1,187,504","1,227,328","1,114,948","1,172,050","1,105,008","1,294,708","1,217,811","1,077,511","1,059,128","1,125,931","1,165,728","1,142,045","1,162,299","1,143,554","1,157,548","1,170,879","1,185,189","1,077,347","1,110,005","1,135,405","1,127,109","1,070,551","1,096,562","1,158,730","1,144,852","1,114,364","1,124,207","1,119,698","1,073,584"
"Automotive parts, accessories and tire retailers  [4413]","900,579","879,493","901,740","909,164","917,398","906,762","882,022","874,865","926,698","893,742","900,531","848,567","904,647","900,245","819,620","707,296","913,756","969,064","1,002,537","981,502","977,952","1,063,049","1,035,201","1,014,867","988,166","1,103,030","1,098,930","1,059,756","963,088","1,033,513","1,050,305","1,099,165","1,087,180","1,050,369","1,070,247","1,170,201","1,174,490","1,129,413","1,135,687","1,112,198","1,172,027","1,198,701","1,177,630","1,198,157","1,210,455","1,206,614","1,203,297","1,232,561","1,222,775","1,273,369","1,257,529","1,299,415","1,301,226","1,258,286","1,273,305","1,266,163","1,254,437","1,246,396","1,282,228","1,247,659","1,276,394","1,244,576","1,270,618","1,284,559","1,241,217","1,260,686","1,271,651","1,274,265","1,332,056","1,287,028","1,294,273","1,355,388"
Building material and garden equipment and supplies dealers  [444],"3,161,261","3,068,125","3,210,227","3,109,960","3,150,945","3,343,539","3,341,108","3,148,277","3,249,924","3,140,759","3,166,618","3,370,012","3,267,442","3,225,063","3,276,406","2,698,945","3,450,953","3,847,179","3,625,633","3,829,445","3,844,141","3,960,141","4,030,351","4,184,566","4,006,895","4,101,424","4,949,247","4,610,492","4,045,420","3,860,163","3,741,383","3,763,717","3,815,973","3,939,614","4,087,731","4,067,259","4,235,194","4,430,439","4,571,371","4,320,593","4,205,438","4,231,354","4,183,994","4,207,841","4,136,315","4,142,187","4,005,933","3,890,380","4,070,001","3,866,643","3,870,531","3,884,337","3,865,424","3,839,265","3,866,999","3,886,170","3,902,740","3,861,883","3,855,272","3,815,001","3,907,799","3,876,111","3,913,793","3,843,135","3,746,234","3,766,053","3,732,212","3,716,154","3,868,277","3,832,212","3,757,810","3,847,448"
Food and beverage retailers  [445],"10,763,613","10,884,555","10,784,398","10,952,006","10,772,844","10,805,742","10,975,187","10,914,266","10,964,245","10,940,116","10,884,142","11,148,154","11,060,415","11,016,684","13,397,848","12,234,273","11,910,072","12,188,354","12,011,705","11,881,631","11,981,460","12,004,883","12,412,642","12,182,343","12,481,623","12,326,329","12,166,577","12,164,934","12,117,747","11,946,856","11,561,902","11,928,985","12,069,678","11,903,793","12,144,844","11,955,099","12,220,134","12,172,498","12,206,748","12,103,716","12,276,205","12,196,164","12,137,584","12,498,868","12,291,538","12,530,672","12,479,121","12,328,169","12,517,585","12,596,573","12,648,624","12,806,319","12,930,193","12,775,310","12,937,948","12,773,724","12,728,770","12,767,684","12,564,512","12,880,713","12,764,721","12,774,998","12,706,025","12,905,540","12,658,923","12,842,846","12,943,680","12,699,701","13,079,963","12,999,106","12,742,521","13,184,993"
Grocery and convenience retailers  [4451],"8,026,389","8,182,467","8,106,660","8,181,883","8,049,294","8,100,666","8,222,656","8,128,002","8,203,724","8,168,155","8,143,356","8,339,170","8,266,150","8,241,608","10,337,318","9,452,016","9,119,571","9,190,843","9,024,691","8,985,951","9,030,994","9,123,704","9,376,968","9,226,689","9,397,194","9,305,821","9,138,983","9,198,332","9,198,266","8,973,088","8,644,417","8,980,553","9,050,150","8,926,821","9,103,941","8,966,301","9,083,919","9,017,638","9,114,046","9,053,158","9,124,975","9,090,698","9,034,788","9,305,846","9,156,916","9,369,958","9,354,688","9,323,715","9,416,424","9,532,521","9,586,743","9,703,078","9,815,478","9,739,951","9,875,555","9,728,143","9,705,898","9,739,729","9,576,249","9,733,663","9,670,067","9,717,576","9,716,043","9,864,638","9,656,159","9,808,418","9,916,010","9,732,370","10,027,399","9,956,688","9,775,980","10,115,197"
